consumer_id,sex,age,avocado_days_old,avocado_ripe_index,avocado_days_picked,fertilizer_type
111013208632,Male,36,154,1,85,dry
111013208632,Male,36,154,1,85,dry
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,organic
111013208632,Male,36,154,1,85,heavy metal
111013208632,Male,36,154,1,85,heavy metal